2025-12-02 15:43:00.187 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - Starting XiaohashuOssBizApplication using Java 17.0.12 with PID 13632 (E:\xiaohashu\xiaohashu-oss\xiaohashu-oss-biz\target\classes started by LeeShuchen in E:\xiaohashu)
2025-12-02 15:43:00.190 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - The following 1 profile is active: "dev"
2025-12-02 15:43:00.631 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-02 15:43:00.635 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-02 15:43:00.635 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-12-02 15:43:00.678 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-02 15:43:00.678 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 464 ms
2025-12-02 15:43:00.848 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-12-02 15:43:00.853 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - Started XiaohashuOssBizApplication in 0.992 seconds (process running for 1.302)
2025-12-02 16:02:28.778 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - Starting XiaohashuOssBizApplication using Java 17.0.12 with PID 27836 (E:\xiaohashu\xiaohashu-oss\xiaohashu-oss-biz\target\classes started by LeeShuchen in E:\xiaohashu)
2025-12-02 16:02:28.779 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - The following 1 profile is active: "dev"
2025-12-02 16:02:29.228 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-02 16:02:29.232 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-02 16:02:29.232 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-12-02 16:02:29.275 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-02 16:02:29.275 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 470 ms
2025-12-02 16:02:29.436 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-12-02 16:02:29.440 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - Started XiaohashuOssBizApplication in 0.963 seconds (process running for 1.229)
2025-12-02 16:05:03.812 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:05:03.851 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:05:04.146 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:05:04.154 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:05:04.155 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - The following 1 profile is active: "dev"
2025-12-02 16:05:04.420 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=7174e1f8-9054-3188-9c71-3cf71c2c22d0
2025-12-02 16:05:04.533 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-02 16:05:04.538 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-02 16:05:04.538 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-12-02 16:05:04.589 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-02 16:05:04.589 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 427 ms
2025-12-02 16:05:04.998 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-12-02 16:05:05.006 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:05:05.007 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ans.namespace attribute : null
2025-12-02 16:05:05.007 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ALIBABA_ALIWARE_NAMESPACE attribute :null
2025-12-02 16:05:05.008 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from namespace attribute :null
2025-12-02 16:05:05.021 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [req-serv] nacos-server port:8848
2025-12-02 16:05:05.021 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [http-client] connect timeout:1000
2025-12-02 16:05:05.023 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - PER_TASK_CONFIG_SIZE: 3000.0
2025-12-02 16:05:05.025 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-12-02 16:05:05.025 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-12-02 16:05:05.027 [main] INFO  c.a.n.client.auth.ram.identify.CredentialWatcher - null No credential found
2025-12-02 16:05:05.032 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of f576eafc-e241-486a-820f-2ffeda75f0ab
2025-12-02 16:05:05.043 [main] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2025-12-02 16:05:05.043 [main] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2025-12-02 16:05:05.043 [main] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2025-12-02 16:05:05.044 [main] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] Try to connect to server on start up, server: {serverIp = '192.168.88.101', server main port = 8848}
2025-12-02 16:05:05.065 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:192.168.88.101 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-12-02 16:05:05.676 [main] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] Success to connect to server [192.168.88.101:8848] on start up, connectionId = 1764691504497_192.168.88.1_50457
2025-12-02 16:05:05.677 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] Notify connected event to listeners.
2025-12-02 16:05:05.677 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.client.naming - Grpc connection connect
2025-12-02 16:05:05.677 [main] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-12-02 16:05:05.677 [main] INFO  com.alibaba.nacos.common.remote.client - [f576eafc-e241-486a-820f-2ffeda75f0ab] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$910/0x0000027581661d08
2025-12-02 16:05:05.678 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] xiaohashu registering service xiaohashu-oss with instance Instance{instanceId='null', ip='172.28.129.13', port=8081, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={IPv6=[2001:da8:c800:9000:0:0:1:439d], preserved.register.source=SPRING_CLOUD}}
2025-12-02 16:05:05.695 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP xiaohashu-oss 172.28.129.13:8081 register finished
2025-12-02 16:05:05.775 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - Started XiaohashuOssBizApplication in 2.331 seconds (process running for 2.631)
2025-12-02 16:05:33.325 [Thread-5] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-12-02 16:05:33.325 [Thread-8] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-12-02 16:05:33.325 [Thread-5] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-12-02 16:05:33.326 [Thread-8] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-12-02 16:05:33.340 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2025-12-02 16:05:33.340 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - [DEREGISTER-SERVICE] xiaohashu deregistering service xiaohashu-oss with instance: Instance{instanceId='null', ip='172.28.129.13', port=8081, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={}}
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.cache.ServiceInfoHolder do shutdown begin
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown begin
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown stop
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.cache.ServiceInfoHolder do shutdown stop
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.NamingClientProxyDelegate do shutdown begin
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServiceInfoUpdateService do shutdown begin
2025-12-02 16:05:33.348 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServiceInfoUpdateService do shutdown stop
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServerListManager do shutdown begin
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Start destroying NacosRestTemplate
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Destruction of the end
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.core.ServerListManager do shutdown stop
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.http.NamingHttpClientProxy do shutdown begin
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Start destroying NacosRestTemplate
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] WARN  com.alibaba.nacos.client.naming - [NamingHttpClientManager] Destruction of the end
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.http.NamingHttpClientProxy do shutdown stop
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Shutdown rpc client, set status to shutdown
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@4e2f323e[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2025-12-02 16:05:33.350 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Close current connection 1764691504497_192.168.88.1_50457
2025-12-02 16:05:33.351 [nacos-grpc-client-executor-192.168.88.101-14] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - [1764691504497_192.168.88.1_50457]Ignore complete event,isRunning:false,isAbandon=false
2025-12-02 16:05:33.353 [SpringApplicationShutdownHook] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@22a90228[Running, pool size = 6, active threads = 0, queued tasks = 0, completed tasks = 15]
2025-12-02 16:05:33.353 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - Shutdown grpc redo service executor java.util.concurrent.ScheduledThreadPoolExecutor@2c81a69b[Running, pool size = 1, active threads = 0, queued tasks = 1, completed tasks = 9]
2025-12-02 16:05:33.353 [SpringApplicationShutdownHook] INFO  c.a.n.client.auth.ram.identify.CredentialWatcher - [null] CredentialWatcher is stopped
2025-12-02 16:05:33.353 [SpringApplicationShutdownHook] INFO  c.a.n.client.auth.ram.identify.CredentialService - [null] CredentialService is freed
2025-12-02 16:05:33.353 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.client.naming - com.alibaba.nacos.client.naming.remote.NamingClientProxyDelegate do shutdown stop
2025-12-02 16:06:09.564 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:06:09.602 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:06:09.893 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:06:09.902 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:06:09.902 [main] INFO  c.q.xiaohashu.oss.biz.XiaohashuOssBizApplication - The following 1 profile is active: "dev"
2025-12-02 16:06:10.178 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=7174e1f8-9054-3188-9c71-3cf71c2c22d0
2025-12-02 16:06:10.294 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-02 16:06:10.300 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-02 16:06:10.300 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-12-02 16:06:10.349 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-02 16:06:10.349 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 441 ms
2025-12-02 16:06:10.776 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-12-02 16:06:10.785 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-12-02 16:06:10.785 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ans.namespace attribute : null
2025-12-02 16:06:10.786 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ALIBABA_ALIWARE_NAMESPACE attribute :null
2025-12-02 16:06:10.786 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from namespace attribute :null
2025-12-02 16:06:10.800 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [req-serv] nacos-server port:8848
2025-12-02 16:06:10.800 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [http-client] connect timeout:1000
2025-12-02 16:06:10.801 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - PER_TASK_CONFIG_SIZE: 3000.0
2025-12-02 16:06:10.804 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-12-02 16:06:10.804 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-12-02 16:06:10.806 [main] INFO  c.a.n.client.auth.ram.identify.CredentialWatcher - null No credential found
2025-12-02 16:06:10.809 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of 51214547-13ad-4f78-bcbd-846d9d70d395
2025-12-02 16:06:10.821 [main] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2025-12-02 16:06:10.821 [main] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2025-12-02 16:06:10.821 [main] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2025-12-02 16:06:10.823 [main] INFO  com.alibaba.nacos.common.remote.client - [51214547-13ad-4f78-bcbd-846d9d70d395] Try to connect to server on start up, server: {serverIp = '192.168.88.101', server main port = 8848}
2025-12-02 16:06:10.843 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:192.168.88.101 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
